specimenID,materialName,materialStockID,specimenPreparation,testStandards,particleSize [Âµm],particleSizeUnit,percentOfMass [%],percentOfMassUnit,testType
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,16.77,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,3.98,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.01,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,14.2,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,15.98,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,19.05,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,16.73,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,17.01,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,14.46,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,2.16,%,PARTICLESIZE-SIEVING
RR_10_P-31-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.04,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,18.89,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,14.98,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,19.33,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,14.34,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,16.45,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,14.54,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,0.91,%,PARTICLESIZE-SIEVING
RR_3_P-24-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.01,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,5.54,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,11.47,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,16.49,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,21.66,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,20.2,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,18.08,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,5.68,%,PARTICLESIZE-SIEVING
RR_11_P-32-14,IN625,NIST_IN625_RR_Feedstock_HW,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.04,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,13.71,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,11.88,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,16.11,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,18.56,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,19.35,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,17.24,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,2.6,%,PARTICLESIZE-SIEVING
RR_2_P-23-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.02,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,5.55,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,13.12,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,19.39,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,21.74,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,18.94,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,15.75,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,4.89,%,PARTICLESIZE-SIEVING
RR_2_P-36-14,IN625,NIST_IN625_RR_Feedstock_Louisville,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.02,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,4.96,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,11.04,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,20.84,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,23.25,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,18.64,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,16.81,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,3.69,%,PARTICLESIZE-SIEVING
RR_4_P-25-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.01,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,12.41,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,14.86,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,18.75,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,19.56,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,17.51,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,14.55,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,1.88,%,PARTICLESIZE-SIEVING
RR_12_P-33-14,IN625,NIST_IN625_RR_Feedstock_NIST,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.01,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,7.65,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,11.4,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,14.98,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,22.01,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,18.63,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,18.89,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,5.47,%,PARTICLESIZE-SIEVING
RR_5_P-26-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.04,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,8.35,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,12.31,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,18.13,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,19.37,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,17.7,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,18.92,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,4.6,%,PARTICLESIZE-SIEVING
RR_14_P-35-14,IN625,NIST_IN625_RR_Feedstock_Picatinny,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.04,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,11.99,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,15.29,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,18.51,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,19.54,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,17.99,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,13.77,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,2.3,%,PARTICLESIZE-SIEVING
RR_7_P-28-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.02,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,14.3,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,16.57,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,19.69,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,15.66,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,16.55,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,14.98,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,1.92,%,PARTICLESIZE-SIEVING
RR_13_P-34-14,IN625,NIST_IN625_RR_Feedstock_WesternIllinois,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.06,%,PARTICLESIZE-SIEVING
